Kabupaten/Kota,IUD,MOW,MOP,Kondom,Implan,Suntikan,Pil
Simeulue,163,4438,792,141,0,277,1165
Aceh Singkil,337,6554,1866,139,45,425,383
Aceh Selatan,927,17333,3818,651,4,647,1002
Aceh Tenggara,229,17629,4169,279,36,56,382
Aceh Timur,2911,16003,13624,1000,1,982,1099
Aceh Tengah,1802,13438,9215,799,42,703,2029
Aceh Barat,30,372,137,18,0,0,31
Aceh Besar,1922,13933,8660,1973,13,1145,1277
Pidie,2787,14935,8152,1132,1,747,1162
Bireuen,1027,60,0,401,61,217,1477
Aceh Utara,3363,29273,21927,3535,22,877,593
Aceh Barat Daya,51,761,294,0,0,0,6
Gayo Lues,178,4278,1446,185,0,63,375
Aceh Tamiang,1389,10099,11251,1192,0,1066,916
Nagan Raya,1056,8039,2995,299,41,105,273
Aceh Jaya,610,6955,2202,350,0,96,204
Bener Meriah,1232,9086,5634,768,16,185,1440
Pidie Jaya,272,3136,1947,42,0,12,35
Banda Aceh,2390,5277,3963,1068,0,365,376
Sabang,6,73,75,1,0,0,2
Langsa,52,204,236,43,0,5,31
Lhokseumawe,3004,8335,7080,877,10,258,234
Subulussalam,172,1524,1494,95,0,107,170
Jembrana,9592,1440,315,1470,5046,25083,3542
Tabanan,30621,2608,97,1479,1130,26121,5081
Badung,25937,2582,353,2061,871,19442,6475
Gianyar,29848,2794,277,2351,1120,16996,8824
Klungkung,12175,851,146,1151,2301,10499,3367
Bangli,17127,1610,371,801,1567,16792,2913
Karangasem,31751,3269,476,2397,4073,28177,5761
Buleleng,36080,4637,1050,8622,3762,52380,11466
Denpasar,25645,4674,83,3640,1217,19514,7718
Bengkulu Selatan,978,920,133,715,5408,11216,3320
Rejang Lebong,1560,516,107,1496,10186,19469,6054
Bengkulu Utara,2557,1529,137,1351,10724,22832,6623
Kaur,410,156,87,369,3925,13381,2915
Seluma,1120,392,92,1155,6070,17270,5882
Mukomuko,1807,1028,109,848,6062,14023,4383
Lebong,870,202,126,658,3813,7165,3144
Kepahiang,1222,375,127,743,4730,12524,2546
Bengkulu Tengah,1526,662,28,510,5652,9813,2084
Kota Bengkulu,3303,778,152,1661,4045,19439,6364
Kep. Seribu,379,212,34,82,501,2492,908
Jakarta Selatan,34029,5266,2365,10522,13187,42802,30854
Jakarta Timur,59395,15718,7433,16876,44650,98770,64976
Jakarta Pusat,78485,12649,3465,15579,41014,165857,91688
Jakarta Barat,61681,9169,1574,14832,18496,99557,58858
Jakarta Utara,88899,14278,2303,23026,34242,146593,95574
Boalemo,841,747,151,73,5926,8517,3917
Gorontalo,2185,1703,85,247,10099,31806,10249
Pohuwato,637,594,99,84,5792,7460,5713
Bone Bolango,1882,1031,74,172,5626,6995,4557
Gorontalo Utara,614,497,27,92,3808,6130,3119
Kota Gorontalo,3348,1354,202,145,4012,7079,4559
Kabupaten Bogor,38984,13667,1695,10887,33243,514175,174391
Kabupaten Sukabumi,30088,7294,2193,8154,54145,182991,127339
Kabupaten Cianjur,31269,3746,1051,5633,34494,211049,123997
Kabupaten Bandung,92506,17597,3354,9351,26795,305141,106052
Kabupaten Garut,57314,7022,2150,3336,44638,201104,59234
Kabupaten Tasikmalaya,22868,4999,699,2074,17568,153540,43690
Kabupaten Ciamis,20135,8182,475,3144,12854,100845,45369
Kabupaten Kuningan,17117,10958,269,2438,21274,99972,12563
Kabupaten Cirebon,34858,16420,1776,14671,36438,196188,85206
Kabupaten Majalengka,13771,11517,2080,3760,16033,131828,39403
Kabupaten Sumedang,17812,7008,378,1860,12562,107918,27814
Kabupaten Indramayu,13371,7755,1691,9542,29959,165347,103162
Kabupaten Subang,46532,8496,1821,6976,24218,131837,78720
Kabupaten Purwakarta,22721,4901,1005,4920,17217,88044,47299
Kabupaten Karawang,23304,10781,2370,11684,28619,207118,113655
Kabupaten Bekasi,35308,9277,3864,16982,37587,291292,181720
Kabupaten Bandung Barat,30008,5727,1398,3073,20774,159848,53793
Kabupaten Pangandaran,8376,2076,185,1306,5647,32349,14854
Kota Bogor,20038,3093,365,3602,6341,58400,22086
Kota Sukabumi,6313,1317,165,1340,4928,20793,9719
Kota Bandung,98932,13141,1396,8443,7270,115603,44685
Kota Cirebon,3276,1970,28,414,1336,15388,2819
Kota Bekasi,80665,9310,2319,16021,25419,151434,83011
Kota Depok,43140,7418,1072,11402,16760,122908,62153
Kota Cimahi,19985,2804,196,1709,819,39188,9589
Kota Tasikmalaya,17127,1581,137,1732,3893,47129,17004
Kota Banjar,3551,1314,417,1056,3862,13644,6381
Kabupaten Cilacap,34772,7282,941,8448,48835,117683,55289
Kabupaten Banyumas,43472,10643,1566,6893,47759,100785,22363
Kabupaten Purbalingga,14594,9269,1365,3577,16877,79348,15407
Kabupaten Banjarnegara,21469,9998,1561,3819,21465,95781,18162
Kabupaten Kebumen,17061,3959,202,5430,28431,73132,14081
Kabupaten Purworejo,11540,3778,398,3364,19231,35365,9440
Kabupaten Wonosobo,12891,6393,954,2098,25932,64402,8785
Kabupaten Magelang,26881,8205,398,6251,18073,77814,14353
Kabupaten Boyolali,15564,6823,1044,1572,16002,74995,4226
Kabupaten Klaten,12827,7901,277,4241,24906,77891,10300
Kabupaten Sukoharjo,14216,6691,307,2432,9761,52518,11335
Kabupaten Wonogiri,8065,6063,195,6789,7927,71686,20560
Kabupaten Karanganyar,19732,8523,1026,4179,11625,60851,6921
Kabupaten Sragen,16556,10056,310,2716,23769,75496,9986
Kabupaten Grobogan,12670,14444,339,3425,30058,174511,25295
Kabupaten Blora,9729,5027,1405,2281,25998,75619,17343
Kabupaten Rembang,3206,2009,239,933,15310,65594,11621
Kabupaten Pati,10922,13734,670,2865,19990,105112,26373
Kabupaten Kudus,5076,2252,209,1234,7024,74907,10783
Kabupaten Jepara,3632,4158,345,1382,16756,122502,13953
Kabupaten Demak,5680,5753,322,1343,14950,111814,10916
Kabupaten Semarang,19106,7090,1203,1924,35931,79896,10119
Kabupaten Temanggung,12578,6186,323,4871,24675,42870,6474
Kabupaten Kendal,8076,5456,761,1167,18417,83853,18860
Kabupaten Batang,9271,6274,2429,5406,15903,66244,21691
Kabupaten Pekalongan,5147,6030,255,2645,8345,78676,11822
Kabupaten Pemalang,10182,7828,3145,5171,24977,139100,30203
Kabupaten Tegal,10064,10405,1163,1721,29247,122211,12056
Kabupaten Brebes,11282,5353,819,1421,27187,176543,26865
Kota Magelang,1896,1157,27,1459,874,3247,905
Kota Surakarta,7737,2973,186,6369,2877,18254,4864
Kota Salatiga,3700,1482,127,2309,2524,6438,2409
Kota Semarang,21719,15538,920,21416,10792,102875,21371
Kota Pekalongan,2706,1204,139,1716,2141,20045,3650
Kota Tegal,3548,2307,88,1053,4763,18995,3167
Pacitan,22904,4351,415,877,10564,45426,6502
Ponorogo,37000,7295,541,3625,13329,43491,9479
Trenggalek,18273,5480,211,4959,13256,53177,20768
Tulungagung,17125,9039,507,4617,19194,72193,33208
Blitar,42579,6415,670,4023,25094,86500,33185
Kediri,34198,15445,559,3900,27074,102957,28334
Malang,54261,18867,440,4588,50963,200499,55926
Lumajang,20855,7590,647,4311,41126,80495,30479
Jember,39713,7038,661,3319,32036,165959,108914
Banyuwangi,19867,6863,590,5016,27988,122069,53252
Bondowoso,6017,2271,1002,605,12849,67906,24873
Situbondo,4492,4855,3907,2133,20473,42420,29609
Probolinggo,6739,12226,1321,2428,32871,115861,31385
Pasuruan,14928,11902,1517,3555,28266,141944,67361
Sidoarjo,32103,18669,591,5779,15198,150048,44131
Mojokerto,26134,13911,410,6452,24346,93725,32587
Jombang,19086,11788,442,4647,19841,91910,31120
Nganjuk,14220,9541,462,4645,15988,82357,18764
Madiun,17356,6822,99,1478,12455,54009,14752
Magetan,14812,5400,305,1909,6567,48237,6099
Ngawi,28549,6620,308,1558,14581,70514,17909
Bojonegoro,12570,6886,285,2261,14589,94560,27278
Tuban,20901,7354,409,1550,33412,107425,16871
Lamongan,14656,8102,490,5381,29603,119447,60350
Gresik,11495,7397,299,2165,19642,104662,33040
Bangkalan,5380,3435,534,2412,20110,69621,36294
Sampang,3794,2940,381,2341,24219,108469,29627
Pamekasan,4656,2589,288,1652,12352,81705,40312
Sumenep,1826,1164,109,965,13354,104869,33790
Kediri,3562,3207,308,1167,4303,15526,3977
Blitar,3993,1071,553,1277,886,4572,2504
Malang,23294,9209,281,4102,5756,38098,11890
Probolinggo,4180,2375,150,895,5993,13290,8258
Pasuruan,2565,1378,130,598,2219,14527,4826
Mojokerto,3330,1595,108,761,1084,5615,2065
Madiun,3578,2008,107,2231,702,5044,1242
Surabaya,54636,32262,1559,22817,29845,205530,67909
Batu,9199,2193,150,1744,5718,10226,3668
Malinau,22,12,0,18,24,266,35
Bulungan,1208,1010,8,696,1553,7738,5430
Tana Tidung,149,48,0,70,307,1424,692
Nunukan,910,385,0,1102,1734,11180,4712
Tarakan,1536,494,45,1254,1099,15754,5370
Sumba Barat,230,2423,18,39,4069,3050,396
Sumba Timur,968,1841,6,52,10473,9520,1044
Kupang,1101,1367,29,115,9298,16606,1713
Timor Tengah Selatan,1718,1929,1049,194,14789,40922,3341
Timor Tengah Utara,1090,1325,10,43,7888,11461,570
Belu,784,1837,90,59,3537,10367,667
Alor,1125,713,124,82,7269,11110,682
Lembata,997,1764,14,154,3706,4134,1269
Flores Timur,1373,2070,80,164,5064,4611,765
Sikka,4767,2684,4,141,10844,12855,1787
Ende,1916,1502,153,525,3589,7945,1420
Ngada,912,1440,11,205,4454,4096,969
Manggarai,8449,2308,0,89,4957,15042,4580
Rote Ndao,494,837,10,258,5974,8155,916
Manggarai Barat,3640,1457,9,62,3060,14322,5254
Sumba Tengah,168,960,6,167,3412,3879,251
Sumba Barat Daya,1789,3782,1,143,13784,8931,365
Nagekeo,1684,1845,13,62,3175,3772,672
Manggarai Timur,3943,1018,0,71,6797,16383,6299
Sabu Raijua,69,221,1,99,1608,2021,351
Malaka,522,634,359,45,3490,10503,369
Kota Kupang,5454,2772,81,844,6434,14971,3415
Merauke,14,3,2,14,173,778,294
Jayawijaya,665,99,0,696,1615,5777,1862
Jayapura,43,23,0,46,213,574,244
Nabire,187,1239,13,174,2847,10339,1684
Kepulauan Yapen,14,12,1,81,389,3869,843
Biak Numfor,118,158,77,10,452,527,311
Paniai,10,0,0,115,47,83,114
Puncak Jaya,114,23,1,3083,603,1982,709
Mimika,2,4,0,20,46,702,130
Boven Digoel,23,10,0,41,483,954,144
Mappi,4555,489,266,186,2048,1632,184
Asmat,23,7,0,102,242,900,215
Yahukimo,57,0,0,0,155,458,7
Pegunungan Bintang,0,0,0,0,0,37,24
Tolikara,5,0,0,1,118,1854,557
Sarmi,68,33,14,226,975,12478,5299
Keerom,209,99,0,257,310,3521,3829
Waropen,20,4,0,258,117,4611,967
Supiori,461,0,1,32,148,160,87
Mamberamo Raya,0,0,0,10,0,885,12
Nduga,0,0,0,15,0,82,4
Lanny Jaya,70,0,0,65,114,142,126
Mamberamo Tengah,23,6,2,167,333,396,2875
Yalimo,0,0,0,0,0,63,25
Puncak,0,0,0,44,12,56,31
Dogiyai,59,0,0,81,414,2512,201
Intan Jaya,0,0,0,0,0,3,71
Deiyai,63,0,0,29,207,1215,294
Kota Jayapura,1353,2284,40,1751,5603,30188,5508
Kuantan Singingi,2717,856,307,1898,6724,21814,12477
Indragiri Hulu,3130,1109,74,2989,9572,29856,12396
Indragiri Hilir,2102,321,352,2640,7564,32394,62104
Pelalawan,3977,1335,83,3687,9511,21157,13386
Siak,7172,1387,67,3118,7270,22438,14938
Kampar,5501,3773,284,5052,27256,52059,35541
Rokan Hulu,2278,1211,174,2673,7563,24474,13925
Bengkalis,3396,1791,695,1939,5436,45400,15372
Rokan Hilir,795,2204,0,5259,12795,48897,24337
Kepulauan Meranti,6273,3735,30,1350,1733,9760,3844
Pekanbaru,14937,4597,242,6039,10931,36088,31034
Dumai,2000,1536,67,2707,4556,17361,7696
Buton,301,327,25,222,2187,7322,4334
Muna,1129,827,275,690,4115,8716,7050
Konawe,958,1090,134,322,10747,12368,10494
Kolaka,915,516,54,395,6794,13677,7842
Konawe Selatan,1126,977,276,621,10895,18210,9779
Bombana,574,347,8,154,3067,10951,5756
Wakatobi,215,262,26,417,1167,7320,2827
Kolaka Utara,421,494,2,234,3832,10011,5957
Buton Utara,530,145,8,153,1063,4709,1638
Konawe Utara,1796,118,29,325,4967,5302,3172
Kolaka Timur,381,367,215,236,3145,8648,6382
Konawe Kepulauan,62,37,0,58,1551,2931,1856
Muna Barat,54,92,13,322,1020,3981,2917
Buton Tengah,128,173,47,479,711,5509,4967
Buton Selatan,98,162,2,411,1347,5601,3327
Kota Kendari,3438,1381,109,769,6052,14113,15123
Kota Baubau,595,788,8,509,2216,7929,8070
Bolaang Mongondow,1143,1103,53,99,11502,15701,8236
Minahasa,6433,1154,96,932,7318,20234,13002
Kepulauan Sangihe,602,419,10,155,4457,8102,3853
Kepulauan Talaud,742,110,35,253,6460,5309,1752
Minahasa Selatan,7660,557,88,1363,6393,12238,8814
Minahasa Utara,2082,639,25,548,6909,18656,6814
Bolaang Mongondow Utara,458,163,12,131,3639,4441,2820
Kepulauan Sitaro,549,334,27,286,1314,3961,4170
Minahasa Tenggara,2856,978,424,401,7304,9393,5132
Bolaang Mongondow Selatan,411,182,42,224,3330,3114,4749
Bolaang Mongondow Timur,259,383,37,139,2855,5452,3594
Kota Manado,14393,3871,386,3582,10771,21148,16610
Kota Bitung,3889,754,60,1167,6271,15553,6548
Kota Tomohon,1544,757,64,449,1469,8665,2315
